,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,label
0,0.011255025863647461,0.00982415421456787,0.013945627212524413,0.004295814672191258,5,{'knn__n_neighbors': 5},0.35,0.335,0.345,0.315,0.32,0.333,0.013638181696985843,5,Audio
1,0.006214618682861328,0.0009184132728091193,0.011193656921386718,0.00035186232321242074,10,{'knn__n_neighbors': 10},0.38,0.36,0.38,0.36,0.33,0.362,0.018330302779823355,4,Audio
2,0.0056308269500732425,0.0002443221002621313,0.012582349777221679,0.0003986619696670641,20,{'knn__n_neighbors': 20},0.425,0.395,0.385,0.345,0.35,0.38,0.029664793948382662,1,Audio
3,0.005642032623291016,0.00022000532712634793,0.012083911895751953,0.0001007178511288462,30,{'knn__n_neighbors': 30},0.405,0.4,0.375,0.345,0.35,0.375,0.02469817807045696,2,Audio
4,0.005541181564331055,4.425310875269664e-05,0.013507843017578125,0.000704116290149412,50,{'knn__n_neighbors': 50},0.39,0.37,0.385,0.36,0.32,0.365,0.024899799195977467,3,Audio
5,0.09645981788635254,0.008153337730613181,4.855279970169067,0.331575827677991,5,{'knn__n_neighbors': 5},0.47460552268244577,0.47115384615384615,0.476577909270217,0.47534516765285995,0.46486686390532544,0.47250986193293887,0.00422454634923154,5,Dropped
6,0.08621072769165039,0.0005085129710934274,4.458397150039673,0.29367698381935553,10,{'knn__n_neighbors': 10},0.4970414201183432,0.5018491124260355,0.5032051282051282,0.501232741617357,0.4958086785009862,0.49982741617357007,0.0028769136382277676,4,Dropped
7,0.08913149833679199,0.005566242718791063,5.0489660739898685,0.09489639477561437,20,{'knn__n_neighbors': 20},0.5092455621301775,0.5166420118343196,0.5252712031558185,0.5128205128205128,0.5087524654832347,0.5145463510848126,0.006067293260462352,3,Dropped
8,0.08929476737976075,0.004227241203923328,6.589127826690674,1.4045394201137082,30,{'knn__n_neighbors': 30},0.51232741617357,0.5178747534516766,0.5265039447731755,0.5179980276134122,0.5155325443786982,0.5180473372781064,0.004702937544022271,1,Dropped
9,0.09232401847839355,0.006337077182884532,8.149690580368041,1.2261225708640455,50,{'knn__n_neighbors': 50},0.5103550295857988,0.5178747534516766,0.5298323471400395,0.5154092702169625,0.5151627218934911,0.5177268244575937,0.006524639478957069,2,Dropped
10,0.11917319297790527,0.004679125349600569,2.41105375289917,0.09902144992886375,5,{'knn__n_neighbors': 5},0.4765,0.4785,0.48,0.4781,0.4681,0.47624000000000005,0.004219763026521741,5,Filled
11,0.11588869094848633,0.006655076035279591,2.9071630001068116,0.1013940925367809,10,{'knn__n_neighbors': 10},0.502,0.5109,0.5133,0.5088,0.5039,0.50778,0.004235752589564217,4,Filled
12,0.11966276168823242,0.00280549837015032,3.6005547523498533,0.122860719263202,20,{'knn__n_neighbors': 20},0.5133,0.5189,0.5275,0.5227,0.5149,0.5194599999999999,0.005180579118206763,3,Filled
13,0.1141845703125,0.006375701015125462,4.093201446533203,0.38238461039333616,30,{'knn__n_neighbors': 30},0.5236,0.5269,0.5317,0.5265,0.5213,0.526,0.003504283093587041,2,Filled
14,0.11784939765930176,0.0076835189871943535,4.892949008941651,0.157795635555618,50,{'knn__n_neighbors': 50},0.5229,0.5303,0.5361,0.5307,0.5234,0.52868,0.004960806386062652,1,Filled
