mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__criterion,param_tree__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,label,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0.006984551747639974,0.003567098173996629,0.002012968063354492,0.0008264050880712289,gini,4,"{'tree__criterion': 'gini', 'tree__max_depth': 4}",0.3712574850299401,0.37237237237237236,0.32432432432432434,0.35598472724221225,0.02239191190495404,2,Audio,,,,,,,
0.004666646321614583,0.0009404938627577569,0.0013315677642822266,0.00046648141071035915,gini,6,"{'tree__criterion': 'gini', 'tree__max_depth': 6}",0.39520958083832336,0.3333333333333333,0.36936936936936937,0.365970761180342,0.02537492731735521,1,Audio,,,,,,,
0.004996776580810547,0.0008149514860568734,0.0013357798258463542,0.0004694037531009595,gini,8,"{'tree__criterion': 'gini', 'tree__max_depth': 8}",0.32934131736526945,0.34234234234234234,0.34234234234234234,0.3380086673499847,0.006128741949109282,5,Audio,,,,,,,
0.005330959955851237,0.0009452138237557715,0.0019997755686442056,3.2709623380115316e-06,gini,10,"{'tree__criterion': 'gini', 'tree__max_depth': 10}",0.3203592814371258,0.3483483483483483,0.30930930930930933,0.32600564636492785,0.016430108945598165,6,Audio,,,,,,,
0.006003459294637044,1.4108167461043047e-05,0.002000729242960612,0.0008098775186164146,entropy,4,"{'tree__criterion': 'entropy', 'tree__max_depth': 4}",0.3652694610778443,0.2852852852852853,0.3123123123123123,0.3209556862251473,0.033220455834235156,8,Audio,,,,,,,
0.007681528727213542,0.00047968847736009306,0.001989285151163737,0.000806629927636706,entropy,6,"{'tree__criterion': 'entropy', 'tree__max_depth': 6}",0.36826347305389223,0.33633633633633636,0.33633633633633636,0.3469787152421883,0.015050596584569177,3,Audio,,,,,,,
0.010651985804239908,0.0009331914014821984,0.0016640027364095051,0.00047581062818838083,entropy,8,"{'tree__criterion': 'entropy', 'tree__max_depth': 8}",0.3383233532934132,0.3483483483483483,0.3333333333333333,0.34000167832503164,0.006243676809866619,4,Audio,,,,,,,
0.011337916056315104,0.0004709646019516517,0.0023361841837565103,0.00047041729086304154,entropy,10,"{'tree__criterion': 'entropy', 'tree__max_depth': 10}",0.32934131736526945,0.3063063063063063,0.34234234234234234,0.32599665533797273,0.014900537940071222,7,Audio,,,,,,,
0.1913004159927368,0.015543418805553403,0.004509091377258301,0.000678362954570615,gini,4,"{'tree__criterion': 'gini', 'tree__max_depth': 4}",0.39447731755424065,0.4218441814595661,0.40113412228796846,0.41496548323471394,0.010793890106799863,8,Dropped,0.41839250493096647,0.42628205128205127,0.42578895463510846,0.42011834319526625,0.41395463510848124,0.40335305719921105,0.42430966469428005
0.277299690246582,0.017858511885489804,0.00449683666229248,0.0004979772382700401,gini,6,"{'tree__criterion': 'gini', 'tree__max_depth': 6}",0.4760848126232742,0.4928500986193294,0.48520710059171596,0.489077909270217,0.008179349784271128,5,Dropped,0.492603550295858,0.4985207100591716,0.5029585798816568,0.4911242603550296,0.490138067061144,0.47682445759368836,0.4844674556213018
0.3497968912124634,0.021595529883596223,0.004202485084533691,0.0003994169358919172,gini,8,"{'tree__criterion': 'gini', 'tree__max_depth': 8}",0.5039447731755424,0.5056706114398422,0.5083826429980276,0.5131163708086786,0.00901288412578638,3,Dropped,0.5224358974358975,0.5142998027613412,0.5273668639053254,0.5202169625246549,0.5219428007889546,0.498767258382643,0.5081360946745562
0.43199996948242186,0.033834582975031315,0.004998016357421875,0.0007749938981860236,gini,10,"{'tree__criterion': 'gini', 'tree__max_depth': 10}",0.5202169625246549,0.5115877712031558,0.52465483234714,0.5215483234714005,0.010051917560778806,2,Dropped,0.5350098619329389,0.511094674556213,0.5411735700197239,0.5273668639053254,0.5192307692307693,0.5160256410256411,0.5091222879684418
0.31310670375823973,0.007087948969608072,0.004890584945678711,0.0009429525406448962,entropy,4,"{'tree__criterion': 'entropy', 'tree__max_depth': 4}",0.41863905325443784,0.4329388560157791,0.4238165680473373,0.4283777120315581,0.005289309159991362,7,Dropped,0.4326923076923077,0.4331854043392505,0.4339250493096647,0.42948717948717946,0.4272682445759369,0.42061143984220906,0.4312130177514793
0.4638078212738037,0.021328588258002497,0.00448312759399414,0.0004893315161334882,entropy,6,"{'tree__criterion': 'entropy', 'tree__max_depth': 6}",0.47904339250493094,0.48150887573964496,0.48717948717948717,0.4839990138067061,0.006155270358763274,6,Dropped,0.4854536489151874,0.488905325443787,0.4972879684418146,0.4869329388560158,0.48052268244575935,0.47509861932938857,0.4780571992110454
0.7006000995635986,0.04678092226009309,0.004999995231628418,0.0007708697425715351,entropy,8,"{'tree__criterion': 'entropy', 'tree__max_depth': 8}",0.5093688362919132,0.5093688362919132,0.5145463510848126,0.5129437869822484,0.006603860241360015,4,Dropped,0.513560157790927,0.5175049309664694,0.5177514792899408,0.5263806706114399,0.5128205128205128,0.5076429980276134,0.5004930966469427
0.8733949422836303,0.0885683665395611,0.005195879936218261,0.0011613710896587178,entropy,10,"{'tree__criterion': 'entropy', 'tree__max_depth': 10}",0.5189842209072978,0.5256410256410257,0.525887573964497,0.5259368836291913,0.009696466914013165,1,Dropped,0.5256410256410257,0.5256410256410257,0.5438856015779092,0.5342702169625246,0.5357495069033531,0.5101084812623274,0.513560157790927
