blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock,accuracy,macro avg,weighted avg,model_type
0.3333333333333333,0.7,0.2631578947368421,0.6111111111111112,0.25,0.1724137931034483,0.34782608695652173,0.64,0.17857142857142858,0.3333333333333333,0.375,0.38297469811460183,0.4007848256322966,knn
0.047619047619047616,0.6363636363636364,0.21739130434782608,0.4074074074074074,0.38461538461538464,0.23809523809523808,0.6153846153846154,0.8,0.3333333333333333,0.2,0.375,0.3880209967166489,0.375,knn
0.08333333333333333,0.6666666666666666,0.23809523809523808,0.4888888888888889,0.30303030303030304,0.19999999999999998,0.4444444444444444,0.7111111111111111,0.23255813953488372,0.25,0.375,0.3618128125104869,0.3648531158763717,knn
21.0,22.0,23.0,27.0,13.0,21.0,13.0,20.0,15.0,25.0,0.375,200.0,200.0,knn
0.16666666666666666,0.6785714285714286,0.23076923076923078,0.7142857142857143,0.3333333333333333,0.25,0.25,0.6071428571428571,0.21739130434782608,0.25,0.37,0.36981605351170566,0.3875451903169294,logreg
0.14285714285714285,0.8636363636363636,0.13043478260869565,0.18518518518518517,0.38461538461538464,0.2857142857142857,0.7692307692307693,0.85,0.3333333333333333,0.04,0.37,0.39850072471811604,0.37,logreg
0.15384615384615383,0.76,0.16666666666666669,0.2941176470588235,0.3571428571428571,0.26666666666666666,0.37735849056603776,0.7083333333333333,0.26315789473684204,0.06896551724137932,0.37,0.3416255227258761,0.333559847868301,logreg
21.0,22.0,23.0,27.0,13.0,21.0,13.0,20.0,15.0,25.0,0.37,200.0,200.0,logreg
0.14285714285714285,0.6923076923076923,0.2,0.2727272727272727,0.16666666666666666,0.15625,0.3076923076923077,0.5555555555555556,0.2727272727272727,0.25,0.3,0.301678391053391,0.30547171231546233,tree
0.047619047619047616,0.4090909090909091,0.13043478260869565,0.3333333333333333,0.3076923076923077,0.23809523809523808,0.6153846153846154,0.75,0.2,0.12,0.3,0.3151650233824147,0.3,tree
0.07142857142857142,0.5142857142857142,0.15789473684210528,0.3,0.21621621621621623,0.18867924528301888,0.4102564102564103,0.6382978723404256,0.23076923076923075,0.16216216216216217,0.3,0.2889990159583855,0.2846691145957135,tree
21.0,22.0,23.0,27.0,13.0,21.0,13.0,20.0,15.0,25.0,0.3,200.0,200.0,tree
0.35714285714285715,0.7619047619047619,0.17647058823529413,0.6666666666666666,0.23529411764705882,0.28,0.2916666666666667,0.64,0.25,0.4444444444444444,0.41,0.41035901027077504,0.4335616479925304,forest
0.23809523809523808,0.7272727272727273,0.13043478260869565,0.37037037037037035,0.3076923076923077,0.3333333333333333,0.5384615384615384,0.8,0.4,0.32,0.41,0.41656602978342105,0.41,forest
0.2857142857142857,0.7441860465116279,0.15,0.47619047619047616,0.26666666666666666,0.30434782608695654,0.3783783783783784,0.7111111111111111,0.3076923076923077,0.37209302325581395,0.41,0.3996380121607624,0.40798029116406265,forest
21.0,22.0,23.0,27.0,13.0,21.0,13.0,20.0,15.0,25.0,0.41,200.0,200.0,forest
