Alternative,Anime,Blues,Classical,Country,Electronic,Hip-Hop,Jazz,Rap,Rock,accuracy,macro avg,weighted avg,model_type
0.2930379746835443,0.6171875,0.4855390008764242,0.6980281690140845,0.33608815426997246,0.5233644859813084,0.38957234915055655,0.4354575163398693,0.3422083007047768,0.4873134328358209,0.45053333333333334,0.46077968838563577,0.4611669510007069,knn
0.31604095563139933,0.41442622950819674,0.36664460622104567,0.8343434343434344,0.5592665356908972,0.49490142760027195,0.43577981651376146,0.35438829787234044,0.3007570543702684,0.42596216568819306,0.45053333333333334,0.4502510523439809,0.45053333333333334,knn
0.30410509031198685,0.49588073754413503,0.41779788838612364,0.760122699386503,0.41986234021632246,0.5087351502445843,0.4113826167646149,0.3907624633431085,0.3201465201465202,0.4545770971110338,0.45053333333333334,0.44833726034549326,0.44858682008115397,knn
1465.0,1525.0,1511.0,1485.0,1527.0,1471.0,1526.0,1504.0,1453.0,1533.0,0.45053333333333334,15000.0,15000.0,knn
0.40221088435374147,0.6209193870752832,0.5043795620437956,0.7699868938401049,0.45944558521560575,0.575962187711006,0.47121111846459296,0.48325358851674644,0.43116490166414523,0.532705389848247,0.5283333333333333,0.5251239498733269,0.5253002921251607,logreg
0.3228668941979522,0.6111475409836066,0.457313037723362,0.7912457912457912,0.5861165684348395,0.5798776342624066,0.46657929226736566,0.4029255319148936,0.3922918100481762,0.6640574037834311,0.5283333333333333,0.5274421504861826,0.5283333333333333,logreg
0.3581976524043922,0.6159947124917382,0.47969455050329746,0.7804716041182332,0.5151079136690648,0.5779132791327913,0.46888376687520583,0.43944887599709936,0.4108108108108108,0.5911730545876887,0.5283333333333333,0.5237696220590322,0.5242849767711752,logreg
1465.0,1525.0,1511.0,1485.0,1527.0,1471.0,1526.0,1504.0,1453.0,1533.0,0.5283333333333333,15000.0,15000.0,logreg
0.4001759014951627,0.724087591240876,0.5207843137254902,0.8064743138634765,0.4634012107870116,0.5952589991220368,0.4970464135021097,0.4564102564102564,0.4166666666666667,0.4834558823529412,0.5286666666666666,0.5363761549166028,0.5366492499998988,tree
0.310580204778157,0.6504918032786885,0.43944407677035074,0.7717171717171717,0.5514079895219385,0.46091094493541807,0.3859764089121887,0.4734042553191489,0.5505849965588437,0.6862361382909328,0.5286666666666666,0.5280753990082839,0.5286666666666666,tree
0.3497309761721753,0.6853195164075994,0.4766690595836325,0.7887130075705439,0.5035885167464116,0.5195402298850574,0.4345260051641461,0.46475195822454307,0.47435517343611033,0.5672688056079805,0.5286666666666666,0.52644632487982,0.5268741350779697,tree
1465.0,1525.0,1511.0,1485.0,1527.0,1471.0,1526.0,1504.0,1453.0,1533.0,0.5286666666666666,15000.0,15000.0,tree
0.5101171458998935,0.7681660899653979,0.656691604322527,0.830074173971679,0.5765079365079365,0.6523668639053254,0.48653846153846153,0.5636492220650636,0.4662207357859532,0.4925019731649566,0.5934,0.6002834207127195,0.6004177147016418,forest
0.326962457337884,0.7278688524590164,0.5228325612177366,0.828956228956229,0.5946299934512115,0.5995921142080217,0.49737876802096986,0.5299202127659575,0.4796971782518926,0.8140900195694716,0.5934,0.5921928386238392,0.5934,forest
0.39850249584026626,0.7474747474747475,0.5821665438467207,0.8295148247978438,0.5854287556415215,0.6248671625929861,0.491898898250162,0.5462645647703908,0.47286295793758487,0.6137201868699288,0.5934,0.5892701138022152,0.5898960108946923,forest
1465.0,1525.0,1511.0,1485.0,1527.0,1471.0,1526.0,1504.0,1453.0,1533.0,0.5934,15000.0,15000.0,forest
