Alternative,Anime,Blues,Classical,Country,Electronic,Hip-Hop,Jazz,Rap,Rock,accuracy,macro avg,weighted avg,model_type
0.3509212730318258,0.7154772937905468,0.5496760259179265,0.7609868928296067,0.3982494529540481,0.6207233626588465,0.4086897488119484,0.5311203319502075,0.38974358974358975,0.4755145493257629,0.5106837606837606,0.5201102521014309,0.520223704761658,knn
0.3494578815679733,0.6064414768263944,0.4182415776499589,0.8457583547557841,0.6076794657762938,0.5104501607717041,0.4717868338557994,0.42953020134228187,0.3117309269893355,0.5663567202028741,0.5106837606837606,0.5117433599738399,0.5106837606837606,knn
0.35018804847471796,0.6564625850340137,0.47503499766682217,0.8011363636363635,0.48116325181758096,0.5602117335685929,0.4379774463441251,0.4749536178107607,0.3463992707383774,0.5169753086419754,0.5106837606837606,0.510050262373333,0.5095972614028194,knn
1199.0,1273.0,1217.0,1167.0,1198.0,1244.0,1276.0,1192.0,1219.0,1183.0,0.5106837606837606,12168.0,12168.0,knn
0.37743589743589745,0.6388429752066116,0.512987012987013,0.7689144736842105,0.43042671614100186,0.5896188158961881,0.46894904458598724,0.5020325203252033,0.4582159624413146,0.5019556714471969,0.5253944773175543,0.5249379090150625,0.5247977243283583,logreg
0.30692243536280234,0.6072270227808326,0.45439605587510273,0.8011996572407883,0.5809682804674458,0.5844051446945338,0.4615987460815047,0.41442953020134227,0.4003281378178835,0.650887573964497,0.5253944773175543,0.5262362584486733,0.5253944773175543,logreg
0.33854645814167433,0.6226339105920259,0.4819172113289761,0.7847251363827109,0.49449378330373,0.5870004037141704,0.4652448657187993,0.4540441176470589,0.42732049036777586,0.5668016194331984,0.5253944773175543,0.522272799663012,0.5218386535913934,logreg
1199.0,1273.0,1217.0,1167.0,1198.0,1244.0,1276.0,1192.0,1219.0,1183.0,0.5253944773175543,12168.0,12168.0,logreg
0.3576158940397351,0.7182866556836903,0.48833189282627487,0.8160291438979964,0.4865073245952197,0.5735887096774194,0.4503950834064969,0.4481737413622902,0.42083618917066484,0.46153846153846156,0.517422748191979,0.5221303096198249,0.5221953455433006,tree
0.31526271893244373,0.6849960722702279,0.46425636811832377,0.7677806341045416,0.5267111853088481,0.45739549839228294,0.40203761755485895,0.3808724832214765,0.5036915504511895,0.6796280642434489,0.517422748191979,0.5182632192597642,0.517422748191979,tree
0.33510638297872336,0.7012464817048654,0.47598989048020224,0.7911699779249448,0.505811623246493,0.5089445438282647,0.42484472049689437,0.4117913832199547,0.4585511575802838,0.5497435897435897,0.517422748191979,0.5163199751204216,0.5159780935597892,tree
1199.0,1273.0,1217.0,1167.0,1198.0,1244.0,1276.0,1192.0,1219.0,1183.0,0.517422748191979,12168.0,12168.0,tree
0.4730077120822622,0.7787091366303437,0.6175889328063241,0.8208955223880597,0.5568627450980392,0.6537102473498233,0.4399075500770416,0.5699432892249527,0.43201376936316693,0.4620253164556962,0.5742110453648915,0.5804664221475709,0.5803957978940739,forest
0.30692243536280234,0.7297721916732128,0.5135579293344289,0.8483290488431876,0.5926544240400667,0.594855305466238,0.44749216300940436,0.5058724832214765,0.4118129614438064,0.8021978021978022,0.5742110453648915,0.5753466744592426,0.5742110453648915,forest
0.372281234193222,0.7534468775344687,0.5607895917451772,0.8343868520859671,0.5742013748483623,0.622895622895623,0.44366744366744365,0.536,0.4216715665686686,0.5863453815261044,0.5742110453648915,0.5705685945065038,0.5701170899490463,forest
1199.0,1273.0,1217.0,1167.0,1198.0,1244.0,1276.0,1192.0,1219.0,1183.0,0.5742110453648915,12168.0,12168.0,forest
