mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logreg__max_iter,param_logreg__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,label,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0.04500730832417806,0.00735689591771731,0.002658367156982422,0.000465810640861319,100,lbfgs,"{'logreg__max_iter': 100, 'logreg__solver': 'lbfgs'}",0.45808383233532934,0.37537537537537535,0.4444444444444444,0.42596788405171643,0.036205061120730395,1,Audio,,,,,,,
0.01600360870361328,0.012033429879906965,0.0019973119099934897,3.7003983582887065e-06,100,liblinear,"{'logreg__max_iter': 100, 'logreg__solver': 'liblinear'}",0.4311377245508982,0.3783783783783784,0.45345345345345345,0.4209898521275767,0.031478047487331504,7,Audio,,,,,,,
0.05799547831217448,0.01349929258889536,0.002004543940226237,0.0008238395756999786,100,newton-cg,"{'logreg__max_iter': 100, 'logreg__solver': 'newton-cg'}",0.45808383233532934,0.37537537537537535,0.4444444444444444,0.42596788405171643,0.036205061120730395,1,Audio,,,,,,,
0.03866767883300781,0.0032856484425758713,0.0020026365915934243,0.0014205735813437215,1000,lbfgs,"{'logreg__max_iter': 1000, 'logreg__solver': 'lbfgs'}",0.45808383233532934,0.37537537537537535,0.4444444444444444,0.42596788405171643,0.036205061120730395,1,Audio,,,,,,,
0.009328762690226236,0.0016995041620250291,0.0016758441925048828,0.0009496603774988182,1000,liblinear,"{'logreg__max_iter': 1000, 'logreg__solver': 'liblinear'}",0.4311377245508982,0.3783783783783784,0.45345345345345345,0.4209898521275767,0.031478047487331504,7,Audio,,,,,,,
0.04866774876912435,0.00836385864545706,0.002664963404337565,0.0016970096110187193,1000,newton-cg,"{'logreg__max_iter': 1000, 'logreg__solver': 'newton-cg'}",0.45808383233532934,0.37537537537537535,0.4444444444444444,0.42596788405171643,0.036205061120730395,1,Audio,,,,,,,
0.039319753646850586,0.006184098901752431,0.0026756922403971353,0.0009508945231535035,10000,lbfgs,"{'logreg__max_iter': 10000, 'logreg__solver': 'lbfgs'}",0.45808383233532934,0.37537537537537535,0.4444444444444444,0.42596788405171643,0.036205061120730395,1,Audio,,,,,,,
0.009672880172729492,0.004495072800936856,0.0013251304626464844,0.0004700603934288505,10000,liblinear,"{'logreg__max_iter': 10000, 'logreg__solver': 'liblinear'}",0.4311377245508982,0.3783783783783784,0.45345345345345345,0.4209898521275767,0.031478047487331504,7,Audio,,,,,,,
0.039338906606038414,0.004502204484601221,0.002325852711995443,0.00046526049776049396,10000,newton-cg,"{'logreg__max_iter': 10000, 'logreg__solver': 'newton-cg'}",0.45808383233532934,0.37537537537537535,0.4444444444444444,0.42596788405171643,0.036205061120730395,1,Audio,,,,,,,
3.1161036491394043,0.10298314732824008,0.007895445823669434,0.007136002237619686,100,lbfgs,"{'logreg__max_iter': 100, 'logreg__solver': 'lbfgs'}",0.5234220907297831,0.5273668639053254,0.5253944773175543,0.5282544378698224,0.007101447734944826,1,Dropped,0.5318047337278107,0.5325443786982249,0.540680473372781,0.5369822485207101,0.5145463510848126,0.5249013806706114,0.5249013806706114
1.4236982583999633,0.02572773964188813,0.005199885368347168,0.0007467673527227408,100,liblinear,"{'logreg__max_iter': 100, 'logreg__solver': 'liblinear'}",0.4990138067061144,0.508629191321499,0.5059171597633136,0.5084812623274162,0.006483048993774963,7,Dropped,0.5172583826429981,0.5071499013806706,0.522189349112426,0.5113412228796844,0.5044378698224852,0.5041913214990138,0.5046844181459567
5.599703669548035,0.29547118922535165,0.0051946878433227536,0.000744371872202364,100,newton-cg,"{'logreg__max_iter': 100, 'logreg__solver': 'newton-cg'}",0.5231755424063116,0.5273668639053254,0.5253944773175543,0.5282544378698224,0.007071425415113084,1,Dropped,0.5318047337278107,0.5325443786982249,0.540680473372781,0.5369822485207101,0.514792899408284,0.5249013806706114,0.5249013806706114
3.122201108932495,0.12391846943209875,0.006598734855651855,0.003887302683733631,1000,lbfgs,"{'logreg__max_iter': 1000, 'logreg__solver': 'lbfgs'}",0.5234220907297831,0.5273668639053254,0.5253944773175543,0.5282544378698224,0.007101447734944826,1,Dropped,0.5318047337278107,0.5325443786982249,0.540680473372781,0.5369822485207101,0.5145463510848126,0.5249013806706114,0.5249013806706114
1.4089053630828858,0.02598464192412191,0.005896639823913574,0.002344165821076906,1000,liblinear,"{'logreg__max_iter': 1000, 'logreg__solver': 'liblinear'}",0.4990138067061144,0.508629191321499,0.5059171597633136,0.5084812623274162,0.006483048993774963,7,Dropped,0.5172583826429981,0.5071499013806706,0.522189349112426,0.5113412228796844,0.5044378698224852,0.5041913214990138,0.5046844181459567
5.690296602249146,0.3696892833112807,0.009300446510314942,0.007499984767053313,1000,newton-cg,"{'logreg__max_iter': 1000, 'logreg__solver': 'newton-cg'}",0.5231755424063116,0.5273668639053254,0.5253944773175543,0.5282544378698224,0.007071425415113084,1,Dropped,0.5318047337278107,0.5325443786982249,0.540680473372781,0.5369822485207101,0.514792899408284,0.5249013806706114,0.5249013806706114
3.047595191001892,0.09464673503887397,0.010102033615112305,0.00614735684309398,10000,lbfgs,"{'logreg__max_iter': 10000, 'logreg__solver': 'lbfgs'}",0.5234220907297831,0.5273668639053254,0.5253944773175543,0.5282544378698224,0.007101447734944826,1,Dropped,0.5318047337278107,0.5325443786982249,0.540680473372781,0.5369822485207101,0.5145463510848126,0.5249013806706114,0.5249013806706114
